"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2023","280.15","282.40","282.46","277.36","42.62M","-0.77%"
"11/27/2023","282.33","287.40","289.00","278.88","79.15M","-1.58%"
"11/24/2023","286.85","286.49","287.50","285.11","26.07M","0.23%"
"11/23/2023","286.19","286.16","287.77","285.04","27.72M","0.01%"
"11/22/2023","286.16","283.12","286.67","282.85","47.30M","1.19%"
"11/21/2023","282.79","282.30","283.82","281.66","19.10M","-0.04%"
"11/20/2023","282.91","281.96","284.20","281.61","25.29M","0.47%"
"11/17/2023","281.60","279.70","282.50","278.66","31.32M","0.68%"
"11/16/2023","279.70","282.40","283.69","279.56","24.70M","-1.13%"
"11/15/2023","282.89","280.87","283.93","278.51","41.84M","0.72%"
"11/14/2023","280.87","283.70","283.88","280.54","40.48M","-1.09%"
"11/13/2023","283.97","280.40","284.80","280.32","45.89M","1.35%"
"11/10/2023","280.19","276.99","281.30","276.60","44.64M","1.28%"
"11/09/2023","276.65","278.60","278.85","276.02","28.43M","-0.54%"
"11/08/2023","278.15","273.64","278.35","273.28","58.03M","1.77%"
"11/07/2023","273.31","273.01","274.78","272.20","32.28M","-0.04%"
"11/06/2023","273.42","269.00","273.87","268.62","29.27M","1.82%"
"11/03/2023","268.54","269.07","269.78","267.20","20.98M","-0.19%"
"11/02/2023","269.06","270.00","270.98","268.50","25.75M","-0.23%"
"11/01/2023","269.68","268.29","270.30","267.60","20.61M","0.50%"
"10/31/2023","268.35","270.00","270.50","266.87","26.21M","-0.57%"
"10/30/2023","269.89","269.90","271.55","268.60","33.35M","0.07%"
"10/27/2023","269.70","269.93","271.98","266.80","49.78M","-0.07%"
"10/26/2023","269.90","274.11","276.00","269.12","59.50M","-1.40%"
"10/25/2023","273.73","271.50","274.96","270.53","41.83M","0.91%"
"10/24/2023","271.27","270.00","272.06","268.62","28.03M","0.43%"
"10/23/2023","270.10","270.45","274.10","269.65","62.43M","0.11%"
"10/20/2023","269.80","268.50","270.30","266.50","32.88M","0.43%"
"10/19/2023","268.65","267.13","271.00","266.28","33.53M","0.28%"
"10/18/2023","267.90","270.00","271.19","266.11","40.38M","-0.78%"
"10/17/2023","270.00","268.30","271.97","266.91","51.21M","0.69%"
"10/16/2023","268.15","264.00","269.20","263.51","53.72M","1.76%"
"10/13/2023","263.51","264.89","265.04","262.70","18.41M","-0.37%"
"10/12/2023","264.50","260.00","264.50","259.66","27.55M","1.65%"
"10/11/2023","260.21","263.30","263.99","259.50","29.50M","-1.06%"
"10/10/2023","263.00","264.89","265.18","257.00","34.00M","-0.85%"
"10/09/2023","265.25","263.00","265.97","263.00","45.45M","0.88%"
"10/06/2023","262.93","259.77","263.40","257.86","32.00M","1.37%"
"10/05/2023","259.38","260.70","261.39","258.26","23.50M","-0.06%"
"10/04/2023","259.53","259.00","260.39","258.24","18.57M","-0.05%"
"10/03/2023","259.65","258.99","260.50","257.23","23.91M","0.26%"
"10/02/2023","258.98","261.37","261.92","257.03","35.57M","-0.67%"
"09/29/2023","260.72","258.00","262.59","256.71","68.53M","1.18%"
"09/28/2023","257.67","256.40","258.25","255.50","26.33M","0.61%"
"09/27/2023","256.10","256.20","257.85","254.63","27.88M","0.09%"
"09/26/2023","255.87","252.13","257.17","250.90","42.96M","1.27%"
"09/25/2023","252.65","252.00","253.49","249.83","31.86M","0.26%"
"09/22/2023","251.99","249.85","253.10","248.62","40.71M","0.73%"
"09/21/2023","250.16","252.87","254.20","249.81","58.91M","-1.42%"
"09/20/2023","253.77","252.80","255.47","249.82","66.83M","0.42%"
"09/19/2023","252.72","258.99","259.32","251.50","89.55M","-2.45%"
"09/18/2023","259.07","262.02","263.00","258.76","29.04M","-0.67%"
"09/15/2023","260.83","259.65","262.74","258.56","35.58M","0.32%"
"09/14/2023","260.00","258.90","261.38","255.02","46.23M","0.70%"
"09/13/2023","258.18","262.40","262.77","257.59","30.05M","-1.61%"
"09/12/2023","262.40","257.70","262.40","257.09","45.16M","2.40%"
"09/11/2023","256.25","257.00","258.37","255.16","43.28M","0.22%"
"09/08/2023","255.68","258.08","259.33","253.10","49.56M","-1.20%"
"09/07/2023","258.79","263.69","264.97","256.10","67.69M","-1.79%"
"09/06/2023","263.50","264.33","264.68","262.31","28.34M","-0.47%"
"09/05/2023","264.75","266.74","267.98","261.09","39.81M","-0.99%"
"09/04/2023","267.39","266.50","269.11","266.00","48.14M","0.90%"
"09/01/2023","265.00","265.40","265.62","264.06","19.27M","0.06%"
"08/31/2023","264.85","265.04","266.25","264.30","22.58M","0.06%"
"08/30/2023","264.70","265.68","267.36","263.10","38.60M","-0.37%"
"08/29/2023","265.68","266.70","267.56","265.14","35.41M","-0.47%"
"08/28/2023","266.93","261.32","267.83","260.81","57.90M","2.47%"
"08/25/2023","260.50","258.80","261.60","257.61","28.58M","0.34%"
"08/24/2023","259.63","257.63","259.94","256.40","26.98M","1.26%"
"08/23/2023","256.40","261.50","261.83","256.00","53.12M","-1.93%"
"08/22/2023","261.45","261.92","262.11","259.81","25.95M","0.11%"
"08/21/2023","261.15","262.44","263.06","259.51","35.77M","0.00%"
"08/18/2023","261.14","258.40","261.37","257.35","31.06M","1.02%"
"08/17/2023","258.50","257.15","258.80","255.50","35.94M","0.97%"
"08/16/2023","256.02","261.29","261.68","254.33","71.82M","-1.69%"
"08/15/2023","260.42","259.00","264.17","256.63","59.23M","-0.01%"
"08/14/2023","260.45","267.37","268.77","259.15","86.72M","-2.17%"
"08/11/2023","266.23","267.26","267.40","264.80","24.85M","-0.25%"
"08/10/2023","266.91","264.73","267.50","263.96","37.29M","1.14%"
"08/09/2023","263.91","265.47","265.80","263.05","34.99M","-0.27%"
"08/08/2023","264.62","261.92","265.44","258.80","65.11M","1.03%"
"08/07/2023","261.92","266.54","268.09","260.50","61.53M","-0.83%"
"08/04/2023","264.12","269.48","272.96","261.21","132.21M","-1.85%"
"08/03/2023","269.11","269.00","271.35","266.80","75.76M","0.20%"
"08/02/2023","268.57","268.50","269.97","266.52","48.42M","0.03%"
"08/01/2023","268.50","269.00","273.35","264.10","162.99M","0.41%"
"07/31/2023","267.40","251.33","267.77","251.33","167.91M","7.28%"
"07/28/2023","249.25","248.00","249.45","246.67","35.78M","0.52%"
"07/27/2023","247.95","247.50","249.30","247.24","39.79M","0.36%"
"07/26/2023","247.05","247.20","248.33","245.90","26.12M","-0.06%"
"07/25/2023","247.20","245.48","247.77","244.81","39.73M","0.95%"
"07/24/2023","244.87","244.00","245.85","243.52","19.77M","0.30%"
"07/21/2023","244.13","243.18","244.53","241.70","32.27M","0.59%"
"07/20/2023","242.70","246.27","246.27","242.15","36.03M","-1.28%"
"07/19/2023","245.85","247.25","248.10","245.00","31.45M","-0.37%"
"07/18/2023","246.77","245.80","247.50","245.26","36.01M","0.56%"
"07/17/2023","245.39","244.77","246.20","243.60","36.19M","-0.43%"
"07/14/2023","246.45","246.32","247.05","244.51","25.66M","0.11%"
"07/13/2023","246.19","247.97","248.15","245.34","29.56M","-0.54%"
"07/12/2023","247.52","248.40","249.20","246.10","39.32M","-0.19%"
"07/11/2023","247.99","250.01","250.20","246.51","49.59M","-0.57%"
"07/10/2023","249.40","244.21","249.45","244.20","65.08M","2.35%"
"07/07/2023","243.67","241.49","243.75","240.70","30.28M","1.12%"
"07/06/2023","240.96","241.47","242.47","240.71","23.26M","0.00%"
"07/05/2023","240.95","241.49","241.90","240.24","19.97M","0.10%"
"07/04/2023","240.70","243.40","243.78","240.61","41.56M","-1.08%"
"07/03/2023","243.33","240.00","244.56","239.15","47.33M","1.55%"
"06/30/2023","239.61","240.00","240.68","238.36","24.05M","-0.16%"
"06/29/2023","239.99","239.94","241.26","239.02","28.19M","0.13%"
"06/28/2023","239.67","241.80","241.80","238.60","28.31M","-0.64%"
"06/27/2023","241.21","239.02","242.34","236.80","51.47M","1.18%"
"06/26/2023","238.40","239.60","240.50","233.40","82.02M","1.16%"
"06/23/2023","235.67","239.98","240.99","234.34","61.89M","-2.07%"
"06/22/2023","240.66","242.15","242.80","240.13","23.14M","-0.64%"
"06/21/2023","242.20","241.90","243.92","240.60","26.83M","0.19%"
"06/20/2023","241.74","241.99","242.22","238.82","36.62M","-0.22%"
"06/19/2023","242.28","244.47","244.69","241.32","29.84M","-0.65%"
"06/16/2023","243.87","245.50","245.90","243.70","23.44M","-0.53%"
